INSEE_COM;maille;PoidsGeoSafran
17343;6521;0.290571888786849
17343;6602;0.000607201268139759
17343;6603;0.707971490974947
17157;6118;1
17460;6358;0.437570255980594
17460;6359;0.562429744019037
17002;6686;0.889383281912617
17002;6769;0.110616718087472
17009;5667;0.0843064444917948
17009;5759;0.915693555507849
17180;6121;0.0551271759382151
17180;6122;0.825502400549286
17180;6205;0.119370423512732
17166;5848;0.969272502589578
17166;5849;0.0307274974106347
17080;5848;0.0137180454607922
17080;5849;0.981408770575422
17080;5940;0.00487318396377277
17482;5760;0.427338365278038
17482;5761;0.0226290635160594
17482;5849;0.529254540603351
17482;5850;0.020778030602441
17068;6518;0.121107656097774
17068;6519;0.238454613656615
17068;6600;0.514786541253011
17068;6601;0.125651188993457
17400;6360;0.0192042067416636
17400;6361;0.980795793258222
17353;5938;0.218790811700303
17353;6028;0.781209188299665
17175;6522;0.876288135877177
17175;6523;0.123711864122801
17069;6361;0.78622715816394
17069;6441;0.213772841836247
17145;6441;0.471710090672093
17145;6442;0.0807330769621717
17145;6521;0.349105080863425
17145;6522;0.0984517515022643
17418;6361;0.133879757710439
17418;6362;0.724977691076435
17418;6442;0.141142551213393
17034;6517;1
17433;6770;0.645491510650417
17433;6771;0.0425259911117042
17433;6853;0.311982498237522
17402;6602;0.875722350425206
17402;6685;0.124277649572985
17079;6275;0.869010739792142
17079;6276;0.0968720377411059
17079;6355;0.0341172224667425
17169;6201;1
17126;6203;1
17070;6202;0.586486206692922
17070;6203;0.0265708771785505
17070;6281;0.386942916128702
17309;6938;0.547224443315096
17309;6939;0.0252240338915006
17309;7019;0.41874037431335
17309;7020;0.00881114848007175
17385;6025;0.662738542475451
17385;6026;0.195884342658302
17385;6111;0.141377114866186
17242;6360;0.0861801959985475
17242;6361;0.465023629873448
17242;6440;0.0361859026462468
17242;6441;0.412610271481854
17266;6031;0.189125219850593
17266;6032;0.130197189583389
17266;6117;0.338287449802567
17266;6118;0.342390140763456
17008;5666;0.930250011821241
17008;5667;0.0697499881786187
17336;6200;0.00190245895974924
17336;6279;0.998097541040192
17396;5667;0.0839864801977446
17396;5668;0.017686987334714
17396;5759;0.647400853954168
17396;5760;0.250925678513276
17287;6854;1
17424;6684;0.470215023722875
17424;6685;0.529784976276604
17142;5757;0.192967288936125
17142;5758;0.807032711064213
17271;6034;1
17441;6439;0.891493372882757
17441;6440;0.108506627117453
17297;5755;0.270943865836409
17297;5756;0.729056134163069
17210;6601;1
17233;6604;0.424464860061556
17233;6687;0.575535139939092
17261;6205;0.596756844618718
17261;6284;0.40324315538129
17161;5755;0.97579556000742
17161;5756;0.024204439992407
17153;5665;1
17289;6359;0.0181026291790407
17289;6360;0.856123171122859
17289;6439;0.101563281264045
17289;6440;0.0242109184344337
17212;6204;0.255874109820775
17212;6205;0.744125890180511
17247;6276;0.229185988739717
17247;6356;0.770814011260958
17303;5575;0.367397926534002
17303;5576;0.160319623429117
17303;5668;0.260289936087442
17303;5669;0.211992513948835
17275;6279;0.580075333071817
17275;6359;0.41992466692867
17032;5847;9.90912357705951e-05
17032;5848;0.0225716508560417
17032;5938;0.520815165929628
17032;5939;0.456514091978827
17401;5853;0.350689122503341
17401;5944;0.64931087749698
17103;5941;1
17124;5942;0.999476929921986
17124;6032;0.000523070078186879
17341;6687;0.741820353269912
17341;6688;0.258179646729911
17390;6684;1
17220;6521;0.725187625772943
17220;6603;0.274812374227004
17039;6520;0.997886232525865
17039;6602;0.00211376747427125
17029;6121;1
17115;6360;0.0905612903647168
17115;6440;0.909438709633579
17221;5851;1
17030;6277;0.30378262183346
17030;6278;0.696217378166606
17238;6604;1
17205;5939;0.174197918524749
17205;6029;0.825802081474852
